CrimeDateTime,ASSAULT,BATTERY,WEAPONS VIOLATION,THEFT,CRIMINAL TRESPASS,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,DECEPTIVE PRACTICE,ROBBERY,PUBLIC PEACE VIOLATION,CRIMINAL SEXUAL ASSAULT,NARCOTICS,OTHER OFFENSE,BURGLARY,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,HOMICIDE,INTERFERENCE WITH PUBLIC OFFICER,CONCEALED CARRY LICENSE VIOLATION,PROSTITUTION,HUMAN TRAFFICKING,OBSCENITY,STALKING,ARSON,LIQUOR LAW VIOLATION,KIDNAPPING,INTIMIDATION,PUBLIC INDECENCY,NON-CRIMINAL,GAMBLING,OTHER NARCOTIC VIOLATION
2021-02-05,36,83,20,75,6,34,50,62,13,0,2,26,45,11,5,6,2,1,1.0,3.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,,,
2021-02-06,31,109,14,63,12,19,40,36,18,1,6,15,27,6,0,4,1,1,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,,,
2021-02-07,45,101,10,63,5,21,42,43,9,0,0,5,22,8,1,1,2,0,2.0,0.0,0.0,0,0,1.0,1.0,0.0,0.0,0.0,,,
2021-02-08,38,71,12,68,7,28,41,56,17,1,3,12,37,9,8,2,3,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,
2021-02-09,49,64,14,76,7,26,50,35,32,0,1,22,33,15,4,1,1,3,0.0,1.0,0.0,0,1,1.0,2.0,0.0,1.0,0.0,,,
2021-02-10,38,67,18,72,7,18,44,55,14,0,3,26,33,16,7,0,2,1,0.0,0.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,,,
2021-02-11,41,87,13,83,5,29,43,57,16,0,0,23,17,14,4,3,0,1,0.0,0.0,0.0,0,2,0.0,0.0,1.0,0.0,0.0,,,
2021-02-12,39,75,15,97,4,23,54,61,21,0,0,33,41,9,4,0,2,2,1.0,0.0,0.0,1,0,1.0,1.0,1.0,0.0,0.0,1.0,,
2021-02-13,47,86,11,73,9,24,52,32,20,1,3,13,32,11,4,1,1,0,0.0,0.0,0.0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,,
2021-02-14,36,96,14,60,5,26,38,47,10,1,6,11,32,11,2,5,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,,
2021-02-15,35,81,6,38,7,17,42,38,15,0,4,9,31,5,3,1,1,0,2.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-16,47,75,4,44,6,12,32,47,19,1,3,20,37,6,4,2,2,1,1.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,,
2021-02-17,46,66,16,65,7,22,36,76,23,0,6,21,33,11,2,1,1,0,0.0,0.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-18,49,72,13,66,11,23,52,53,12,1,3,33,34,15,4,2,2,0,0.0,0.0,0.0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,,
2021-02-19,49,88,23,92,9,22,55,56,13,0,5,29,24,9,7,3,0,1,1.0,0.0,0.0,0,0,2.0,2.0,0.0,0.0,0.0,0.0,,
2021-02-20,45,92,13,78,5,24,59,36,17,2,9,29,41,8,4,3,2,1,0.0,0.0,0.0,0,0,1.0,2.0,0.0,0.0,0.0,0.0,,
2021-02-21,50,101,23,68,5,15,73,46,19,3,2,11,30,5,2,3,1,1,0.0,3.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-22,42,83,14,90,10,28,62,70,14,1,2,23,28,19,3,2,2,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-23,53,95,18,102,5,24,69,62,19,0,3,28,42,15,2,1,0,1,3.0,0.0,0.0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,,
2021-02-24,48,88,23,87,9,25,61,68,20,2,4,23,31,21,2,5,1,0,0.0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-25,57,97,22,93,12,14,58,66,18,1,4,31,35,17,7,0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2021-02-26,60,90,22,91,6,29,72,71,16,0,3,27,45,21,7,2,1,0,1.0,0.0,0.0,1,1,0.0,1.0,3.0,1.0,0.0,0.0,,
2021-02-27,50,116,28,94,9,26,85,52,18,1,2,26,32,12,7,5,1,1,0.0,0.0,0.0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,,
2021-02-28,52,116,29,82,12,23,67,55,14,2,9,18,38,29,2,4,5,1,0.0,0.0,0.0,1,1,2.0,1.0,0.0,0.0,0.0,0.0,,
2021-03-01,39,79,21,98,8,31,60,145,19,5,7,23,50,16,12,6,1,2,0.0,0.0,0.0,1,0,1.0,0.0,1.0,2.0,0.0,0.0,,
2021-03-02,42,77,17,98,9,25,48,71,14,2,5,20,48,15,8,1,1,2,0.0,0.0,0.0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,,
2021-03-03,52,102,23,105,12,18,52,69,19,0,4,42,48,11,7,0,0,1,0.0,0.0,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-04,29,86,20,107,10,39,59,69,16,4,5,31,35,12,2,2,1,1,1.0,0.0,0.0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,,
2021-03-05,34,85,18,106,12,28,58,65,17,2,6,33,38,18,5,2,0,1,1.0,1.0,0.0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,,
2021-03-06,62,128,23,87,12,23,60,28,22,2,3,17,34,10,3,2,2,1,1.0,0.0,0.0,1,3,1.0,1.0,0.0,0.0,0.0,0.0,,
2021-03-07,43,127,28,59,11,29,62,38,17,1,8,13,32,12,3,2,1,1,0.0,0.0,0.0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,,
